key,label,count,variants
аввакум,Аввакум,24,{'Аввакум': 24}
крюднер,Крюднер,19,{'Крюднер': 19}
к н посьет,К. Н. Посьет,19,"{'К. Н. Посьет': 13, 'К. Н. Посьету': 4, 'К. Н. Посьета': 2}"
оболенск,Оболенский,10,{'Оболенский': 10}
о а гошкевич,О. А. Гошкевич,9,"{'О. А. Гошкевич': 7, 'О. А. Гошкевича': 2}"
п а тихмен,П. А. Тихменев,7,{'П. А. Тихменев': 7}
шлипенб,Шлипенбах,5,{'Шлипенбах': 5}
к и лос,К. И. Лосев,5,{'К. И. Лосев': 5}
в а корсак,В. А. Корсаков,5,{'В. А. Корсаков': 5}
и в фуругельм,И. В. Фуругельм,4,{'И. В. Фуругельм': 4}
и с унковск,И. С. Унковский,4,"{'И. С. Унковский': 2, 'И. С. Унковского': 2}"
восточн,Восточной,3,{'Восточной': 3}
п а зелен,П. А. Зеленый,3,{'П. А. Зеленый': 3}
а е кроун,А. Е. Кроун,2,{'А. Е. Кроун': 2}
фуругельм,Фуругельм,2,{'Фуругельм': 2}
в а римск,В. А. Римский,2,{'В. А. Римский': 2}
лос,Лосев,2,{'Лосев': 2}
а н майк,А. Н. Майков,2,{'А. Н. Майков': 2}
никит,Никита,2,{'Никита': 2}
н н мурав,Н. Н. Муравьев,2,{'Н. Н. Муравьев': 2}
